[2024-10-20 23:05:45,992: INFO: main: Welcome! project starts now]
[2024-10-20 23:56:22,725: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-20 23:56:22,780: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-20 23:56:22,785: INFO: common: created directory at: artifacts]
[2024-10-20 23:56:22,792: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-20 23:56:22,799: INFO: 1983665874: Downloading data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-20 23:56:35,541: INFO: 1983665874: Downloaded data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-21 01:24:54,308: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-21 01:24:54,310: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-21 01:24:54,311: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-21 01:24:54,312: INFO: common: created directory at: artifacts]
[2024-10-21 01:24:54,313: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-21 01:24:54,313: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-21 01:25:07,819: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-21 01:25:09,272: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-10-21 01:35:36,537: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-21 01:35:36,540: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-21 01:35:36,542: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-21 01:35:36,544: INFO: common: created directory at: artifacts]
[2024-10-21 01:35:36,546: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-21 01:35:36,547: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-21 01:35:52,533: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/152a8M2at3UihO7Al41hfZVMgG8PJimWu/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-21 01:35:53,863: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
